Contour,Area,x-centroid,y-centroid,AllModel (normalized mode 1),AllModel (normalized mode 2)
MreB-00-01,0.701983,156.204,318.603,1.53792,1.25159
MreB-00-02,0.749636,500.656,221.848,1.41896,0.924224
MreB-00-03,0.758102,142.709,317.976,1.67997,1.04282
MreB-00-04,0.755385,495.295,198.147,1.58322,0.727197
MreB-00-05,0.883095,350.647,311.565,1.24006,0.453844
MreB-00-06,0.91875,323.98,270.93,0.819135,1.18765
MreB-00-07,0.919686,14.8765,394.211,1.37289,0.405148
MreB-00-08,0.93342,343.63,288.433,1.10283,0.488408
MreB-00-09,0.941126,325.342,305.56,1.08069,0.649916
MreB-00-10,1.02071,427.397,298.943,1.18352,-0.184687
MreB-00-11,1.04833,242.276,167.359,0.985329,0.0361861
MreB-00-12,1.08206,330.804,249.744,1.04342,-0.470346
MreB-00-13,1.08252,426.063,495.35,0.941184,-0.561345
MreB-00-14,1.07847,381.971,431.271,1.06728,-0.36069
MreB-00-15,1.1279,278.001,347.133,1.09829,-0.321379
MreB-00-16,1.14791,12.5919,349.208,1.18897,-0.42793
MreB-00-17,1.15709,201.787,384.611,1.2136,-0.469896
MreB-00-18,1.164,243.617,139.052,1.02516,-0.70057
MreB-00-19,1.17817,13.7893,416.69,0.990338,-0.773028
MreB-00-20,1.18922,325.418,225.645,0.591854,-0.208833
MreB-00-21,1.47246,483.213,224.939,0.0617716,-0.59129
MreB-00-22,1.47559,255.838,297.033,0.150489,-0.386054
MreB-00-23,1.48418,344.971,352.588,0.140551,-1.18373
MreB-00-24,1.52758,33.1646,331.841,-0.356302,-1.13145
MreB-00-25,1.51557,223.722,353.709,-0.00387299,-0.766318
MreB-00-26,1.52649,155.903,293.278,-0.192977,-1.23603
MreB-00-27,1.53597,443.976,166.158,0.276205,-1.48303
MreB-00-28,1.567,248.421,278.752,-0.620828,-0.324586
MreB-00-29,1.62943,328.461,36.7109,-0.0405069,-1.01175
MreB-00-30,1.68574,154.827,352.184,-0.603071,-1.43457
MreB-00-31,1.70964,174.639,238.253,-0.399701,-1.05748
MreB-00-32,1.82656,72.9194,44.7285,-1.02251,-1.4478
MreB-00-33,1.85827,492.507,315.038,-0.995336,0.241373
MreB-00-34,2.01009,359.044,111.109,-0.695202,-2.93514
MreB-01-01,0.667085,218.431,258.131,1.53917,1.24727
MreB-01-02,0.677437,231.918,64.3893,1.73817,1.40197
MreB-01-03,0.700854,227.107,81.2641,1.58496,1.07943
MreB-01-04,0.706656,202.913,78.8108,1.41301,1.29823
MreB-01-05,0.736253,240.968,252.82,1.4888,1.01986
MreB-01-06,0.902784,193.091,113.863,1.34037,0.342639
MreB-01-07,0.91929,379.239,151.483,1.26309,0.272766
MreB-01-08,0.93711,11.7263,201.075,1.29899,0.387966
MreB-01-09,0.972428,326.148,281.247,1.24255,0.0780997
MreB-01-10,1.03206,21.2087,219.188,0.95666,0.139806
MreB-01-11,1.09615,192.318,288.246,0.906253,0.0368292
MreB-01-12,1.10851,218.891,104.078,0.65391,-0.19877
MreB-01-13,1.09918,357.614,131.749,0.523373,0.058474
MreB-01-14,1.1422,174.802,265.706,0.881054,-0.228517
MreB-01-15,1.13512,301.398,318.433,0.71914,-0.060929
MreB-01-16,1.15091,263.029,184.355,1.14543,-0.633934
MreB-01-17,1.20347,93.4905,350.861,0.885014,-0.796381
MreB-01-18,1.20079,226.61,455.259,0.773453,-0.147164
MreB-01-19,1.2282,378.91,175.52,0.0448368,-0.834708
MreB-01-20,1.29862,388.681,360.665,0.518203,-1.05813
MreB-01-21,1.35039,367.283,334.509,0.359545,-0.870285
MreB-01-22,1.37776,365.926,190.122,0.0989092,-0.279169
MreB-01-23,1.39139,291.271,284.32,-0.294241,-0.531844
MreB-01-24,1.43718,77.5262,153.723,0.512381,-1.33502
MreB-01-25,1.53935,236.953,281.788,-0.151012,-0.801609
MreB-01-26,1.55096,313.081,20.5939,-0.0329701,-0.869271
MreB-01-27,1.59542,169.353,24.3183,0.343338,-0.96249
MreB-01-28,1.6204,144.689,126.312,-0.608808,-0.673654
MreB-01-29,1.76954,299.996,242.184,-0.899497,-1.65138
MreB-01-30,1.81724,481.759,264.425,-0.842102,-2.02709
MreB-01-31,2.16503,231.632,27.7199,-1.30427,-1.01703
